Pop #,Transect,Population ,Latitude,Longitude,Minimum Winter Temperature,Elevation,N,Freq(AcLi),Freq (Ac),Freq (Li),N
MTN4,Central U.S.,"Memphis, TN",35.20345,-89.9673,-1.3,87,10,0.1,0.225,0.163,8
MTN5,Central U.S.,"Memphis, TN",35.19605,-89.9876,-1.2,69,10,0.5,0.368,0.452,
MTN6,Central U.S.,"Memphis, TN",35.21933,-90.0373,-1.4,77,10,0.5,0.368,0.684,8
MTN7,Central U.S.,"Memphis, TN",35.24105,-90.0146,-1.4,73,10,0.1,0.106,0.293,
MTN8,Central U.S.,"Memphis, TN",35.23112,-89.9774,-1.4,83,10,0.2,0.106,0.452,
MTN9,Central U.S.,"Memphis, TN",35.24132,-89.9289,-1.4,101,10,0.4,0.293,0.684,
MTN10,Central U.S.,"Memphis, TN",35.20742,-89.8716,-1.2,82,10,0.6,0.452,0.553,
MTN11,Central U.S.,"Memphis, TN",35.17808,-89.9536,-1.2,78,10,0.5,0.368,0.684,
MTN12,Central U.S.,"Memphis, TN",35.13605,-89.8792,-1.1,88,10,0.3,0.225,0.553,10
MTN13,Central U.S.,"Memphis, TN",35.1207,-89.9332,-1.1,98,9,0.222,0.333,0.423,
MTN14,Central U.S.,"Memphis, TN",35.10512,-89.8963,-1.1,96,10,0.3,0.225,0.368,9
MTN15,Central U.S.,"Memphis, TN",35.16697,-90.0257,-1.3,74,10,0.1,0.225,0.163,
CG1,Central U.S.,"Cape Girardeau, MO",37.34563,-89.5989,-5.6,173,10,0.7,0.684,0.553,10
CG2,Central U.S.,"Cape Girardeau, MO",37.38022,-89.6652,-5.7,139,10,0.2,0.368,0.293,
CG3,Central U.S.,"Cape Girardeau, MO",37.38783,-89.6737,-5.8,133,10,0,0.106,0.293,
CG4,Central U.S.,"Cape Girardeau, MO",37.32858,-89.5502,-5.5,135,10,0.2,0.106,0.553,8
CG5,Central U.S.,"Cape Girardeau, MO",37.3153,-89.5573,-5.4,111,10,0.2,0.225,0.163,
CG6,Central U.S.,"Cape Girardeau, MO",37.31277,-89.5359,-5.3,134,9,0.111,0.118,0.255,10
CG7,Central U.S.,"Cape Girardeau, MO",37.31092,-89.523,-5.3,119,9,0.333,0.423,0.333,
CG8,Central U.S.,"Cape Girardeau, MO",37.29,-89.5405,-5.2,113,8,0.125,0.388,0.134,
CG9,Central U.S.,"Cape Girardeau, MO",37.29068,-89.527,-5.2,115,6,0.167,0.293,0.087,
CG10,Central U.S.,"Cape Girardeau, MO",37.29035,-89.5774,-5.3,112,9,0.333,0.423,0.255,
CG11,Central U.S.,"Cape Girardeau, MO",37.33555,-89.5428,-5.4,144,10,0.2,0.452,0.293,
CG12,Central U.S.,"Cape Girardeau, MO",37.32883,-89.4961,-5.2,106,9,0.556,0.423,0.529,8
CG13,Central U.S.,"Cape Girardeau, MO",37.2775,-89.5632,-5.2,119,8,0.125,1,0.065,
CG14,Central U.S.,"Cape Girardeau, MO",37.22772,-89.521,-5.1,130,8,0.25,0.5,0.293,10
CG15,Central U.S.,"Cape Girardeau, MO",37.21343,-89.5481,-5.2,113,9,0.111,0.333,0.118,
STL1,Central U.S.,"St. Louis, MO",38.64119,-90.2871,-6.5,153,10,0,0.293,0,
STL2,Central U.S.,"St. Louis, MO",38.63814,-90.2775,-6.5,159,9,0,0.118,0.118,
STL3,Central U.S.,"St. Louis, MO",38.66622,-90.3186,-6.5,159,10,0.2,0.293,0.106,10
STL4,Central U.S.,"St. Louis, MO",38.6605,-90.3054,-6.5,152,10,0.2,0.293,0.106,10
STL5,Central U.S.,"St. Louis, MO",38.63577,-90.3205,-6.6,168,9,0.111,0.184,0.118,9
STL6,Central U.S.,"St. Louis, MO",38.60746,-90.2812,-6.5,172,10,0,0,0.106,8
STL7,Central U.S.,"St. Louis, MO",38.60505,-90.2673,-6.4,164,10,0,0.051,0,10
STL8,Central U.S.,"St. Louis, MO",38.62178,-90.364,-6.8,156,10,0.4,0.225,0.368,
STL9,Central U.S.,"St. Louis, MO",38.62544,-90.4501,-7.1,195,10,0.3,0.684,0.225,
STL10,Central U.S.,"St. Louis, MO",38.61096,-90.4861,-7.3,174,10,0.3,0.452,0.163,9
STL11,Central U.S.,"St. Louis, MO",38.58539,-90.5854,-7.7,214,10,0.2,0.452,0.163,
STL12,Central U.S.,"St. Louis, MO",38.52777,-90.6898,-7.8,270,10,0.1,0.225,0.225,
STL13,Central U.S.,"St. Louis, MO",38.63824,-90.2934,-6.4,161,10,0,0.106,0.106,
STL14,Central U.S.,"St. Louis, MO",38.58763,-90.3012,-6.6,144,10,0.4,0.293,0.452,
STL15,Central U.S.,"St. Louis, MO",38.63597,-90.2844,-6.5,153,10,0.1,0.106,0.106,
STL16,Central U.S.,"St. Louis, MO",38.67444,-90.2256,-6.3,156,10,0.1,0.106,0.163,
STL17,Central U.S.,"St. Louis, MO",38.68694,-90.2194,-6.3,132,10,0.2,0.106,0.225,
STL18,Central U.S.,"St. Louis, MO",38.74306,-90.2336,-6.6,149,10,0.1,0.225,0.051,
STL19,Central U.S.,"St. Louis, MO",38.81639,-90.2614,-7,156,10,0.4,0.553,0.225,
STL20,Central U.S.,"St. Louis, MO",38.69361,-90.2531,-6.5,162,10,0,0.051,0.051,
STL21,Central U.S.,"St. Louis, MO",38.7075,-90.315,-6.6,201,10,0.1,0.293,0.163,
STL22,Central U.S.,"St. Louis, MO",38.71528,-90.3544,-6.6,198,10,0.5,0.553,0.293,
STL23,Central U.S.,"St. Louis, MO",38.72111,-90.3947,-6.9,196,10,0,0.225,0.051,
STL24,Central U.S.,"St. Louis, MO",38.725,-90.4053,-6.9,184,10,0,0.452,0.051,
STL25,Central U.S.,"St. Louis, MO",38.7275,-90.4781,-7.4,134,10,0.1,0.106,0.452,9
STL26,Central U.S.,"St. Louis, MO",38.60306,-90.2956,-6.6,153,10,0.2,0.553,0.106,
STL27,Central U.S.,"St. Louis, MO",38.56861,-90.3072,-6.6,132,10,0,0.225,0.106,
STL28,Central U.S.,"St. Louis, MO",38.59056,-90.3528,-6.8,174,10,0.3,0.293,0.368,
STL29,Central U.S.,"St. Louis, MO",38.5575,-90.3772,-6.9,179,10,0.1,0.293,0.163,
STL30,Central U.S.,"St. Louis, MO",38.55583,-90.4433,-7.2,129,10,0,0.051,0.225,
WI1,Central U.S.,"Wausau, WI",44.90585,-89.6705,-16.7,379,9,0,0.423,0.057,
WI2,Central U.S.,"Wausau, WI",44.90212,-89.6619,-16.7,373,9,0,0.255,0,
WI3,Central U.S.,"Wausau, WI",44.85415,-89.6227,-16.4,361,8,0.25,0.293,0.134,
WI4,Central U.S.,"Wausau, WI",44.85196,-89.6295,-16.4,361,9,0.111,0.333,0.184,10
WI5,Central U.S.,"Wausau, WI",44.96117,-89.653,-17,374,8,0,0.293,0,
WI6,Central U.S.,"Wausau, WI",44.9599,-89.6529,-17,374,8,0.125,0.134,0.293,
WI7,Central U.S.,"Wausau, WI",44.96842,-89.6252,-16.9,366,10,0.1,0.368,0.051,9
WI8,Central U.S.,"Wausau, WI",45.00126,-89.6155,-17.1,376,10,0.1,0.163,0.163,10
WI9,Central U.S.,"Wausau, WI",44.98775,-89.6091,-17,372,9,0.111,0.333,0.118,
WI10,Central U.S.,"Wausau, WI",44.96932,-89.6156,-16.9,386,9,0.111,0.333,0.118,
WI11,Central U.S.,"Wausau, WI",44.94772,-89.6116,-16.8,373,9,0.333,0.529,0.255,
WI12,Central U.S.,"Wausau, WI",44.93767,-89.6396,-16.7,354,10,0.1,0.225,0.225,9
WI13,Central U.S.,"Wausau, WI",44.92302,-89.6394,-16.6,354,9,0.111,0.255,0.118,
WI14,Central U.S.,"Wausau, WI",44.94878,-89.7319,-16.9,365,9,0.111,0.423,0.118,
WI15,Central U.S.,"Wausau, WI",44.79794,-89.7069,-16.4,354,10,0.1,0.293,0.106,
